duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
2 minutes,81,Berry St at 4th St,92,Mission Bay Kids Park,5314,Subscriber,1984,Male,26.0
21 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),62,Victoria Manalo Draves Park,4343,Subscriber,1993,Male,27.0
7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,5480,Subscriber,2000,Female,27.0
32 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,4798,Customer,1994,Male,29.0
52 minutes,21,Montgomery St BART Station (Market St at 2nd St),20,Mechanics Monument Plaza (Market St at Bush St),1070,Customer,1974,Female,29.0
6 minutes,3,Powell St BART Station (Market St at 4th St),27,Beale St at Harrison St,5404,Subscriber,1993,Female,26.0
6 minutes,3,Powell St BART Station (Market St at 4th St),27,Beale St at Harrison St,5343,Subscriber,1988,Male,26.0
51 minutes,21,Montgomery St BART Station (Market St at 2nd St),20,Mechanics Monument Plaza (Market St at Bush St),3621,Customer,1974,Female,29.0
51 minutes,21,Montgomery St BART Station (Market St at 2nd St),20,Mechanics Monument Plaza (Market St at Bush St),1911,Customer,1974,Female,27.0
50 minutes,21,Montgomery St BART Station (Market St at 2nd St),20,Mechanics Monument Plaza (Market St at Bush St),1450,Customer,1974,Female,26.0
21 minutes,3,Powell St BART Station (Market St at 4th St),132,24th St at Chattanooga St,4390,Subscriber,1987,Male,29.0
21 minutes,3,Powell St BART Station (Market St at 4th St),132,24th St at Chattanooga St,5406,Subscriber,1984,Female,26.0
